"Name","Vorname","Fraktion","2017","2018","2019","2020","2021","Gesamt"
"Heidenblut","Dirk","SPD","7000","0","0","0","0","7000"
"Held","Marcus","SPD","2000","3000","0","0","0","5000"
"Jurk","Thomas","SPD","0","0","1000","3500","0","4500"
"Korkmaz-Emre","Elvan","SPD","0","0","1000","3500","0","4500"
"Müller (Chemnitz)","Detlef","SPD","0","0","0","0","3500","3500"
"Rosemann","Dr. Martin","SPD","0","0","0","3500","0","3500"
"Diaby","Dr. Karamba","SPD","0","0","0","1000","0","1000"
"Annen","Niels","SPD","0","0","0","0","0","0"
"Arndt-Brauer","Ingrid","SPD","0","0","0","0","0","0"
"Bach","Bela","SPD","0","0","0","0","0","0"
"Bartke","Dr. Matthias","SPD","0","0","0","0","0","0"
"Binding (Heidelberg)","Lothar","SPD","0","0","0","0","0","0"
"Brecht","Dr. Eberhard","SPD","0","0","0","0","0","0"
"Brunner","Dr. Karl-Heinz","SPD","0","0","0","0","0","0"
"Budde","Katrin","SPD","0","0","0","0","0","0"
"Dittmar","Sabine","SPD","0","0","0","0","0","0"
"Felgentreu","Dr. Fritz","SPD","0","0","0","0","0","0"
"Franke","Dr. Edgar","SPD","0","0","0","0","0","0"
"Gerdes","Michael","SPD","0","0","0","0","0","0"
"Gerster","Martin","SPD","0","0","0","0","0","0"
"Gremmels","Timon","SPD","0","0","0","0","0","0"
"Griese","Kerstin","SPD","0","0","0","0","0","0"
"Groß","Michael","SPD","0","0","0","0","0","0"
"Grötsch","Uli","SPD","0","0","0","0","0","0"
"Hagedorn","Bettina","SPD","0","0","0","0","0","0"
"Hakverdi","Metin","SPD","0","0","0","0","0","0"
"Heil (Peine)","Hubertus","SPD","0","0","0","0","0","0"
"Heinrich","Gabriela","SPD","0","0","0","0","0","0"
"Hellmich","Wolfgang","SPD","0","0","0","0","0","0"
"Hendricks","Dr. Barbara","SPD","0","0","0","0","0","0"
"Herzog","Gustav","SPD","0","0","0","0","0","0"
"Hiller-Ohm","Gabriele","SPD","0","0","0","0","0","0"
"Hitschler","Thomas","SPD","0","0","0","0","0","0"
"Juratovic","Josip","SPD","0","0","0","0","0","0"
"Kaczmarek","Oliver","SPD","0","0","0","0","0","0"
"Katzmarek","Gabriele","SPD","0","0","0","0","0","0"
"Kofler","Dr. Bärbel","SPD","0","0","0","0","0","0"
"Kolbe","Daniela","SPD","0","0","0","0","0","0"
"Kramme","Anette","SPD","0","0","0","0","0","0"
"Lambrecht","Christine","SPD","0","0","0","0","0","0"
"Lange (Backnang)","Christian","SPD","0","0","0","0","0","0"
"Lehmann","Sylvia","SPD","0","0","0","0","0","0"
"Lindh","Helge","SPD","0","0","0","0","0","0"
"Lotze","Hiltrud","SPD","0","0","0","0","0","0"
"Maas","Heiko","SPD","0","0","0","0","0","0"
"Mackensen-Geis","Isabel","SPD","0","0","0","0","0","0"
"Marks","Caren","SPD","0","0","0","0","0","0"
"Mast","Katja","SPD","0","0","0","0","0","0"
"Mindrup","Klaus","SPD","0","0","0","0","0","0"
"Mittag","Susanne","SPD","0","0","0","0","0","0"
"Möller","Siemtje","SPD","0","0","0","0","0","0"
"Müntefering","Michelle","SPD","0","0","0","0","0","0"
"Mützenich","Dr. Rolf","SPD","0","0","0","0","0","0"
"Nissen","Ulli","SPD","0","0","0","0","0","0"
"Ortleb","Josephine","SPD","0","0","0","0","0","0"
"Özdemir (Duisburg)","Mahmut","SPD","0","0","0","0","0","0"
"Özoğuz","Aydan","SPD","0","0","0","0","0","0"
"Paschke","Markus","SPD","0","0","0","0","0","0"
"Petry","Christian","SPD","0","0","0","0","0","0"
"Poschmann","Sabine","SPD","0","0","0","0","0","0"
"Post (Minden)","Achim","SPD","0","0","0","0","0","0"
"Post","Florian","SPD","0","0","0","0","0","0"
"Raabe","Dr. Sascha","SPD","0","0","0","0","0","0"
